loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,default
21000,21000,21000.0,60.0,19.48,550.32,4,21,10,1,133308.0,2,0,1,24.17,0.0,4.0,27.0,0.0,45924,68.6,48.0,1,0.0,1,0,0.0,0.0,585612.0,66800.0,16.0,22524.0,16635.0,35.5,0.0,0.0,230.0,191.0,8.0,3.0,5.0,11.0,0.0,0.0,9.0,14.0,13.0,15.0,20.0,18.0,22.0,14.0,27.0,0.0,0.0,0.0,4.0,100.0,16.7,0.0,0.0,689672.0,150184.0,29700.0,94566.0,0,0
12000,12000,12000.0,36.0,11.67,396.69,1,8,1,5,50000.0,0,0,2,15.99,0.0,0.0,4.0,0.0,4184,73.4,24.0,0,0.0,1,0,0.0,0.0,21316.0,5700.0,5.0,5329.0,523.0,82.6,0.0,0.0,92.0,90.0,7.0,7.0,0.0,26.0,7.0,0.0,1.0,3.0,0.0,7.0,5.0,3.0,19.0,3.0,3.0,0.0,0.0,0.0,2.0,95.8,100.0,0.0,0.0,30203.0,21316.0,3000.0,24503.0,0,0
7700,7700,7700.0,36.0,11.49,253.88,1,9,0,1,18336.0,2,0,1,12.3,0.0,0.0,1.0,0.0,8892,93.6,4.0,1,0.0,1,0,0.0,0.0,8892.0,9500.0,0.0,8892.0,608.0,93.6,0.0,0.0,129.0,132.0,95.0,95.0,0.0,95.0,7.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,9500.0,8892.0,9500.0,0.0,0,0
6000,6000,6000.0,36.0,16.29,211.81,3,15,2,5,39000.0,1,0,2,27.75,0.0,1.0,6.0,0.0,3245,29.5,8.0,0,0.0,1,0,0.0,0.0,47173.0,11000.0,5.0,7862.0,3555.0,47.7,0.0,0.0,34.0,44.0,8.0,3.0,0.0,17.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,55933.0,47173.0,6800.0,44933.0,0,0
7200,7200,7200.0,36.0,14.31,247.17,2,13,0,5,34000.0,1,0,12,23.05,0.0,0.0,12.0,0.0,1174,7.0,15.0,0,0.0,1,0,0.0,0.0,23286.0,16700.0,6.0,1941.0,11526.0,9.2,0.0,0.0,21.0,60.0,10.0,5.0,0.0,10.0,21.0,0.0,1.0,1.0,5.0,5.0,4.0,10.0,11.0,1.0,12.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,42950.0,23286.0,12700.0,26250.0,0,0
35000,35000,35000.0,60.0,16.99,869.66,3,15,10,1,80000.0,2,0,2,10.64,1.0,1.0,12.0,0.0,30606,39.2,24.0,1,0.0,1,0,0.0,0.0,249357.0,78100.0,2.0,20780.0,33630.0,45.6,0.0,0.0,58.0,268.0,13.0,13.0,1.0,13.0,4.0,0.0,4.0,7.0,6.0,10.0,1.0,11.0,21.0,7.0,12.0,0.0,0.0,0.0,0.0,95.8,50.0,0.0,0.0,311107.0,30606.0,61800.0,0.0,0,0
23000,23000,23000.0,60.0,12.29,515.0,2,10,10,1,51000.0,1,0,2,21.11,0.0,1.0,8.0,0.0,18559,54.6,10.0,1,0.0,1,0,0.0,66.0,94248.0,34000.0,1.0,11781.0,6238.0,73.8,0.0,0.0,29.0,309.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,4.0,3.0,3.0,1.0,6.0,6.0,4.0,8.0,0.0,0.0,0.0,1.0,100.0,66.7,0.0,0.0,134735.0,21813.0,23800.0,16735.0,0,0
8800,8800,8800.0,36.0,8.18,276.5,1,5,1,5,35000.0,0,0,1,17.95,0.0,0.0,7.0,0.0,7559,61.0,9.0,0,0.0,1,0,0.0,0.0,23526.0,12400.0,1.0,3921.0,4181.0,63.3,0.0,0.0,7.0,103.0,35.0,7.0,0.0,45.0,5.0,1.0,2.0,3.0,4.0,6.0,1.0,6.0,8.0,3.0,7.0,0.0,0.0,0.0,1.0,88.9,25.0,0.0,0.0,29668.0,23526.0,11400.0,17268.0,0,0
30000,30000,30000.0,36.0,6.49,919.34,0,1,3,1,178000.0,2,0,2,20.37,0.0,0.0,9.0,0.0,34476,25.1,25.0,1,0.0,1,0,0.0,0.0,569239.0,107000.0,7.0,63249.0,65083.0,24.8,0.0,0.0,201.0,187.0,16.0,3.0,1.0,92.0,9.0,0.0,2.0,3.0,3.0,8.0,14.0,4.0,10.0,3.0,9.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,675772.0,114518.0,97000.0,109772.0,0,0
5000,5000,5000.0,36.0,8.9,158.77,0,4,10,1,150000.0,0,0,2,13.82,0.0,0.0,15.0,1.0,21857,53.6,31.0,1,0.0,1,0,0.0,0.0,317811.0,40800.0,5.0,21187.0,6926.0,75.1,0.0,0.0,256.0,250.0,6.0,6.0,6.0,6.0,5.0,0.0,5.0,7.0,6.0,9.0,8.0,11.0,16.0,7.0,15.0,0.0,0.0,0.0,3.0,100.0,33.3,1.0,0.0,385623.0,114772.0,27800.0,122095.0,0,0
